epoch,deterministic,uniform_v1,uniform_v2
1,16.0,15.0,16.0
2,49.2,55.6,51.1
3,51.7,56.2,51.7
4,61.3,88.7,72.5
5,61.4,71.4,64.8
6,57.6,54.2,56.8
7,44.3,54.6,46.2
8,54.5,63.9,53.8
9,56.9,73.9,60.4
10,66.3,68.7,67.7
11,77.2,68.0,76.1
12,112.9,59.9,96.9
13,91.7,76.7,93.1
14,61.5,58.4,72.8
15,73.8,77.0,64.9
16,108.0,89.3,83.3
17,73.1,86.5,103.5
18,76.4,78.1,88.0
19,99.8,88.4,82.8
20,80.4,85.6,75.2
21,60.5,85.7,77.3
22,98.0,98.5,90.0
23,93.6,83.3,88.2
24,91.4,92.7,94.5
25,82.6,86.1,86.8
26,89.4,85.9,86.8
27,94.9,83.0,94.1
28,95.0,87.4,74.7
29,93.8,97.0,90.7
30,82.2,92.4,89.7
31,81.5,92.0,88.0
32,93.3,100.0,86.7
33,86.7,87.3,87.1
34,103.4,109.1,129.2
35,83.7,80.6,95.4
36,94.6,96.7,131.6
37,99.8,97.2,136.3
38,103.4,103.7,99.5
39,101.4,111.6,103.8
40,131.9,95.6,119.2
41,102.3,99.7,116.1
42,96.6,107.0,99.2
43,113.2,90.6,121.1
44,120.5,102.9,125.1
45,124.0,99.1,108.6
46,101.2,93.4,100.8
47,130.4,100.3,119.8
48,122.1,125.2,117.7
49,123.1,105.2,120.3
50,99.4,106.0,114.0
51,84.6,101.9,74.6
52,115.2,100.5,104.1
53,92.9,97.6,100.4
54,97.3,107.0,106.3
55,104.2,107.7,113.3
56,92.2,82.1,100.3
57,131.9,112.2,131.1
58,127.4,109.9,137.8
59,121.1,94.6,127.0
60,120.9,136.2,110.1
61,106.3,121.5,116.6
62,114.4,117.0,123.2
63,112.9,114.4,95.9
64,115.7,100.3,112.2
65,130.9,123.2,136.9
66,110.2,110.1,111.4
67,116.1,98.0,108.3
68,129.2,126.8,119.4
69,110.7,112.2,129.6
70,107.0,110.3,119.3
71,134.8,118.8,134.8
72,132.1,131.6,107.8
73,101.1,105.8,97.7
74,84.5,94.9,88.7
75,97.3,124.3,94.1
76,94.9,107.3,92.1
77,114.5,103.8,136.1
78,111.1,122.6,121.8
79,105.0,127.9,95.5
80,160.1,142.0,104.9
81,147.9,109.3,134.5
82,114.6,127.3,116.4
83,134.9,137.8,121.2
84,123.1,116.4,106.0
85,123.7,126.0,120.6
86,131.0,123.3,126.3
87,131.3,130.7,112.3
88,105.1,110.8,99.9
89,127.7,134.7,118.0
90,132.9,140.4,124.7
91,144.9,129.6,144.1
92,130.3,138.7,129.3
93,114.5,123.6,123.5
94,126.5,108.0,137.3
95,129.9,114.0,126.5
96,172.3,113.7,112.2
97,123.5,135.6,122.1
98,134.1,135.1,118.3
99,132.7,119.0,154.2
100,121.4,121.8,116.6
101,125.4,116.7,119.0
102,111.0,131.6,110.5
103,105.9,146.5,99.2
104,108.1,119.8,108.1
105,131.1,147.1,130.4
106,157.7,145.5,158.0
107,98.8,137.3,112.2
108,125.8,140.2,121.1
109,79.3,151.8,97.1
110,101.6,130.2,89.8
111,140.8,137.9,117.4
112,93.7,166.0,96.3
113,134.3,168.9,119.3
114,124.8,119.5,109.5
115,99.0,111.6,101.9
116,104.6,154.7,100.3
117,89.7,169.2,94.6
118,132.6,120.0,130.3
119,137.6,151.3,142.3
120,120.2,148.3,132.5
121,85.8,112.5,95.2
122,99.1,160.9,107.0
123,125.8,159.4,141.4
124,116.4,142.6,116.6
125,120.3,120.4,123.3
126,95.9,138.1,110.5
127,102.8,189.5,114.3
128,110.1,154.1,97.7
129,95.5,144.5,92.2
130,141.0,136.1,123.0
131,105.2,142.0,106.7
132,118.7,182.1,122.1
133,113.4,145.7,109.2
134,132.7,158.1,128.3
135,97.2,169.1,104.1
136,120.6,139.6,112.8
137,149.5,166.3,121.8
138,119.9,154.9,109.4
139,100.9,133.9,105.5
140,142.0,145.3,123.2
141,139.0,127.3,108.7
142,119.4,161.6,109.8
143,105.8,117.0,105.7
144,146.5,125.9,110.7
145,123.6,94.8,133.1
146,122.8,98.9,132.7
147,92.3,109.9,93.7
148,111.0,111.4,113.5
149,99.5,110.0,105.2
150,103.8,137.9,90.3
151,89.5,83.7,93.7
152,89.2,89.9,99.5
153,109.8,111.3,84.1
154,86.5,101.8,101.0
155,86.1,87.0,100.2
156,94.8,93.2,98.0
157,121.1,113.0,110.1
158,79.3,83.8,75.3
159,84.8,107.3,81.4
160,129.9,123.5,98.6
161,106.8,117.6,117.0
162,101.2,109.9,96.6
163,89.1,102.7,98.6
164,99.3,93.3,106.8
165,89.6,96.9,106.9
166,96.0,100.5,101.7
167,96.5,107.6,99.2
168,96.0,111.8,101.9
169,99.9,95.1,104.6
170,118.3,91.4,116.4
171,115.9,111.6,121.8
172,122.3,112.0,112.6
173,122.7,87.4,110.1
174,112.2,94.7,122.0
175,108.8,96.0,96.7
176,71.7,80.1,82.1
177,102.1,101.5,89.2
178,88.8,86.4,83.7
179,110.5,91.2,110.0
180,119.0,90.3,94.8
181,98.3,90.9,113.7
182,77.4,87.2,79.0
183,96.1,91.0,88.8
184,95.7,77.5,100.8
185,77.6,72.0,77.5
186,75.2,67.7,75.4
187,74.9,82.9,75.8
188,78.8,54.3,85.5
189,88.3,63.2,89.9
190,71.3,70.1,74.4
191,90.3,77.8,87.1
192,85.3,68.5,87.8
193,71.9,90.0,73.7
194,79.3,65.9,88.4
195,75.1,69.1,80.2
196,79.6,80.2,80.8
197,107.7,101.1,99.9
198,88.5,86.5,88.1
199,86.5,91.4,97.5
200,72.2,68.8,83.7
201,87.6,73.1,82.6
202,87.1,78.6,82.7
203,70.9,99.8,81.4
204,94.1,75.7,84.6
205,88.5,72.7,89.7
206,94.7,61.6,80.1
207,100.2,80.6,95.8
208,73.8,56.5,70.9
209,68.4,60.6,73.2
210,67.2,62.6,71.0
211,71.2,54.1,75.7
212,64.7,40.4,77.3
213,66.0,55.9,67.9
214,71.9,75.3,75.7
215,53.7,59.3,61.0
216,52.4,63.4,56.5
217,52.3,61.3,56.5
218,74.7,56.9,67.8
219,66.7,58.1,71.4
220,84.4,64.4,84.5
221,62.2,57.4,66.9
222,97.5,63.9,106.5
223,98.9,60.3,80.9
224,73.4,67.9,90.2
225,88.7,76.5,93.6
226,80.3,70.1,90.0
227,68.6,63.3,66.5
228,83.1,71.5,92.4
229,75.3,70.8,80.6
230,80.2,66.4,87.6
231,68.4,60.3,75.7
232,67.4,84.5,74.5
233,54.8,66.3,54.6
234,61.0,66.6,59.9
235,88.4,53.1,80.9
236,64.5,61.9,73.0
237,77.2,67.8,86.8
238,88.6,70.6,71.7
239,69.1,69.5,78.0
240,111.1,79.4,91.7
241,63.4,77.2,64.7
242,72.4,70.6,71.5
243,70.8,76.7,64.8
244,71.6,82.6,71.9
245,90.0,76.9,80.2
246,58.4,74.1,59.1
247,65.8,58.0,68.6
248,69.4,77.6,67.7
249,69.2,74.9,66.2
250,69.2,83.9,68.7
251,67.4,71.3,63.3
252,68.9,80.3,66.6
253,73.5,79.7,71.9
254,68.3,74.9,68.0
255,77.5,107.4,71.4
256,79.2,93.6,76.8
257,76.2,85.2,78.6
258,75.4,97.0,74.1
259,73.8,92.2,76.5
260,74.5,61.0,72.3
261,83.0,74.8,84.9
262,77.9,83.7,78.8
263,89.7,84.6,82.5
264,102.4,64.1,107.8
265,95.7,68.3,111.3
266,77.5,89.3,79.2
267,93.0,87.0,101.4
268,105.4,82.2,98.8
269,99.2,77.0,97.2
270,91.9,82.0,119.3
271,92.0,55.3,113.2
272,106.5,83.2,116.2
273,125.5,107.3,97.0
274,101.6,87.0,97.4
275,108.0,94.9,107.0
276,104.0,83.3,101.3
277,110.2,78.3,101.1
278,78.9,71.8,88.5
279,105.7,78.1,115.7
280,107.0,88.5,96.0
281,133.7,89.9,115.3
282,108.2,93.5,95.3
283,90.3,73.3,111.2
284,97.3,82.6,90.2
285,84.9,86.3,81.5
286,115.3,88.6,98.2
287,93.2,84.6,86.9
288,94.1,90.5,91.1
289,90.7,83.5,82.5
290,93.2,91.7,95.4
291,100.3,80.7,96.2
292,92.9,80.2,95.0
293,103.8,96.6,109.2
294,125.3,107.6,114.3
295,121.1,94.3,104.2
296,101.9,103.5,118.6
297,135.3,109.5,123.5
298,109.1,86.3,100.4
299,107.7,130.8,95.1
300,116.1,95.7,96.1
301,109.8,119.4,100.3
302,105.8,109.5,101.6
303,115.0,148.2,97.3
304,103.1,152.0,79.9
305,103.7,154.4,81.2
306,105.9,188.1,76.0
307,104.8,170.2,72.8
308,102.5,118.4,83.0
309,144.9,145.9,107.6
310,116.6,146.5,72.0
311,132.3,107.7,84.9
312,110.3,141.7,61.0
313,102.2,146.9,75.2
314,133.6,149.7,108.2
315,112.9,212.2,95.3
316,118.8,154.6,88.1
317,116.7,166.1,106.1
318,134.3,165.0,105.5
319,133.7,165.3,117.6
320,150.6,230.4,129.0
321,152.0,274.8,114.5
322,116.6,127.1,91.9
323,130.9,108.4,91.0
324,142.5,178.1,111.3
325,118.0,118.2,78.9
326,127.9,309.4,88.2
327,148.8,395.6,122.4
328,181.1,250.3,85.4
329,105.6,157.5,77.5
330,130.3,147.6,81.3
331,119.3,292.5,78.8
332,170.5,201.9,80.6
333,117.3,232.6,71.0
334,196.9,127.5,76.6
335,281.4,330.2,87.9
336,127.0,221.3,93.8
337,119.7,161.8,89.2
338,124.3,151.1,78.0
339,142.4,276.9,89.7
340,95.0,225.8,81.1
341,94.0,398.3,71.3
342,119.9,400.7,77.2
343,115.3,310.5,82.0
344,205.5,445.2,79.1
345,148.2,235.6,65.4
346,152.9,529.7,91.2
347,106.9,145.3,82.9
348,186.5,271.1,86.6
349,336.5,562.3,116.7
350,87.3,525.2,73.8
351,145.0,407.5,83.1
352,120.5,364.1,81.8
353,228.2,329.2,106.5
354,194.5,504.8,90.7
355,116.0,344.0,87.9
356,156.5,326.3,106.6
357,130.4,293.0,90.7
358,240.7,646.9,109.1
359,139.2,440.4,96.2
360,139.8,695.9,103.6
361,231.8,332.2,103.3
362,110.7,574.1,84.6
363,194.4,370.2,92.8
364,111.4,243.4,97.3
365,129.0,239.7,102.7
366,127.5,286.7,83.3
367,143.6,439.2,100.1
368,167.2,433.5,109.4
369,106.7,362.7,98.8
370,107.7,517.6,81.2
371,144.2,228.6,104.0
372,130.6,395.2,107.8
373,491.3,337.2,110.6
374,122.0,294.0,91.5
375,117.7,422.0,82.0
376,203.4,295.3,105.3
377,274.4,251.5,111.2
378,130.2,392.9,79.1
379,115.8,775.4,83.0
380,109.0,181.8,89.8
381,137.7,544.5,102.5
382,112.1,197.8,83.6
383,97.4,743.7,75.8
384,216.6,375.1,100.7
385,103.6,907.5,93.4
386,129.0,241.7,80.3
387,149.3,655.4,97.1
388,91.9,796.9,69.9
389,105.2,569.5,71.5
390,124.7,665.0,79.1
391,114.8,911.7,76.6
392,160.4,438.0,84.5
393,127.2,421.9,88.1
394,130.2,412.1,95.2
395,206.9,744.8,96.0
396,142.5,887.0,90.7
397,118.9,589.4,82.0
398,204.4,905.4,102.5
399,399.4,922.8,83.3
400,207.3,957.8,88.8
401,112.4,390.7,93.3
402,142.1,733.1,86.8
403,154.4,616.0,90.3
404,135.2,815.6,91.5
405,103.6,695.2,82.0
406,160.1,674.9,106.1
407,75.2,555.4,68.1
408,169.0,990.8,101.1
409,117.1,469.2,73.4
410,104.7,678.7,84.4
411,128.5,777.4,93.7
412,181.0,932.6,105.0
413,183.7,806.0,134.4
414,136.0,1000.0,87.3
415,132.0,534.2,75.1
416,215.7,867.9,99.9
417,315.9,858.4,130.1
418,178.0,583.5,100.0
419,131.9,190.9,97.7
420,118.5,548.0,98.3
421,112.4,780.6,91.0
422,589.1,944.9,94.8
423,391.1,835.4,96.7
424,137.3,673.7,102.4
425,139.0,344.1,91.4
426,140.6,834.9,100.2
427,128.8,977.9,86.3
428,125.5,913.8,107.2
429,635.9,796.5,89.9
430,84.1,523.9,70.7
431,130.7,604.6,81.0
432,235.7,969.7,82.5
433,90.7,530.9,65.5
434,119.0,944.1,84.3
435,105.7,744.5,99.2
436,107.3,501.0,82.1
437,236.4,1000.0,94.5
438,208.2,588.0,98.3
439,369.7,848.3,148.7
440,322.0,816.3,141.1
441,160.9,788.3,81.4
442,145.8,841.2,104.7
443,146.7,929.6,101.7
444,117.1,939.3,95.1
445,185.0,954.4,112.2
446,223.5,864.1,121.7
447,191.2,944.4,109.9
448,239.9,977.6,137.3
449,189.9,900.2,131.9
450,132.1,719.4,90.4
451,186.9,747.1,118.0
452,412.6,830.1,119.6
453,203.1,842.3,137.9
454,186.6,930.1,126.5
455,142.3,710.8,102.4
456,117.5,929.1,85.9
457,223.7,1000.0,96.7
458,145.4,904.7,89.7
459,102.8,928.7,80.1
460,115.2,824.7,104.9
461,934.0,875.5,138.6
462,324.9,921.8,98.2
463,294.3,1000.0,88.7
464,232.4,968.0,85.2
465,130.5,322.5,93.9
466,170.9,987.6,108.6
467,177.9,935.0,100.7
468,125.2,383.1,108.7
469,131.3,914.9,80.2
470,345.6,827.1,130.2
471,194.7,734.6,121.4
472,147.9,978.0,168.4
473,170.6,586.5,119.1
474,437.7,739.4,108.6
475,246.7,1000.0,108.6
476,120.2,231.2,110.6
477,339.8,998.9,173.8
478,234.1,1000.0,111.4
479,184.8,1000.0,152.7
480,219.7,481.6,124.7
481,127.9,932.2,121.1
482,226.0,714.3,149.0
483,143.6,332.4,96.8
484,115.8,1000.0,102.9
485,224.6,1000.0,92.4
486,104.3,1000.0,92.2
487,127.1,1000.0,81.4
488,152.2,956.1,98.6
489,155.5,788.8,89.6
490,201.1,727.4,103.6
491,271.2,1000.0,138.7
492,249.9,1000.0,98.4
493,383.3,974.2,131.9
494,250.4,946.5,97.8
495,348.3,1000.0,92.8
496,149.8,932.7,110.2
497,191.1,700.5,111.7
498,232.8,863.4,103.5
499,129.5,1000.0,98.3
500,228.6,1000.0,135.6
501,201.0,1000.0,106.1
502,170.7,952.1,170.1
503,400.2,1000.0,96.5
504,144.4,1000.0,98.0
505,316.3,995.7,113.9
506,510.0,1000.0,109.8
507,242.4,1000.0,120.5
508,210.3,1000.0,93.0
509,410.7,1000.0,97.8
510,145.3,1000.0,131.1
511,690.4,1000.0,121.9
512,126.1,1000.0,98.2
513,120.3,1000.0,89.7
514,117.0,998.8,92.9
515,131.0,1000.0,95.7
516,98.9,915.4,87.6
517,348.9,1000.0,92.8
518,130.3,823.4,91.0
519,100.8,949.8,74.3
520,142.8,967.9,108.7
